Date;JourDeLaSemaine;ZoneAnalyse;Continent;Pays;CategorieVisiteurs;VisiteurUniqueSur;TypeDeJour;Volume
2017-05-11;Jeudi;Zone FIMU;Afrique;Reste Du Monde;Touriste Etranger;14 jours;Periode normale;46
2017-05-11;Jeudi;Zone FIMU;Amérique;Reste Du Monde;Touriste Etranger;01 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;Reste Du Monde;Touriste Etranger;02 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;Reste Du Monde;Touriste Etranger;03 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;Reste Du Monde;Touriste Etranger;04 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;Reste Du Monde;Touriste Etranger;05 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;Reste Du Monde;Touriste Etranger;06 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;Reste Du Monde;Touriste Etranger;07 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;Reste Du Monde;Touriste Etranger;08 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;Reste Du Monde;Touriste Etranger;09 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;Reste Du Monde;Touriste Etranger;10 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;Reste Du Monde;Touriste Etranger;11 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;Reste Du Monde;Touriste Etranger;12 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;Reste Du Monde;Touriste Etranger;13 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;Reste Du Monde;Touriste Etranger;14 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;États-Unis;Touriste Etranger;02 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;États-Unis;Touriste Etranger;03 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;États-Unis;Touriste Etranger;04 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;États-Unis;Touriste Etranger;05 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;États-Unis;Touriste Etranger;06 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;États-Unis;Touriste Etranger;07 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;États-Unis;Touriste Etranger;08 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;États-Unis;Touriste Etranger;09 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;États-Unis;Touriste Etranger;10 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;États-Unis;Touriste Etranger;11 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;États-Unis;Touriste Etranger;12 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;États-Unis;Touriste Etranger;13 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Amérique;États-Unis;Touriste Etranger;14 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Asie;Asie Océanie;Touriste Etranger;01 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Asie;Asie Océanie;Touriste Etranger;02 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Asie;Asie Océanie;Touriste Etranger;03 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Asie;Asie Océanie;Touriste Etranger;04 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Asie;Asie Océanie;Touriste Etranger;05 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Asie;Asie Océanie;Touriste Etranger;06 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Asie;Asie Océanie;Touriste Etranger;07 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Asie;Asie Océanie;Touriste Etranger;08 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Asie;Asie Océanie;Touriste Etranger;09 jours;Periode normale;#
2017-05-11;Jeudi;Zone FIMU;Asie;Asie Océanie;Touriste Etranger;10 jours;Periode normale;#
